Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Michel Destot,Député,Parti socialiste,N'a parrainé personne
Yves Détraigne,Sénateur,UDI,Parrainage à François Fillon
Patrick Devedjian,Député,Les Républicains,Parrainage à François Fillon
Nicolas Dhuicq,Député,Les Républicains,Parrainage à François Fillon
Catherine Di Folco,Sénateur,Divers droite,Parrainage à François Fillon
Évelyne Didier,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Sophie Dion,Député,Les Républicains,Parrainage à François Fillon
Julien Dive,Député,Les Républicains,Parrainage à François Fillon
Élisabeth Doineau,Sénateur,UDI,N'a parrainé personne
Marc Dolez,Député,Divers gauche,N'a parrainé personne
Éric Doligé,Sénateur,Les Républicains,Parrainage à François Fillon
Fanny Dombre Coste,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Dominati,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Pierre Door,Député,Les Républicains,Parrainage à François Fillon
Dominique Dord,Député,Les Républicains,Parrainage à François Fillon
René Dosière,Député,Sans étiquette,Parrainage à Emmanuel Macron
Philippe Doucet,Député,Parti socialiste,N'a parrainé personne
Sandrine Doucet,Député,Parti socialiste,Parrainage à Benoît Hamon
David Douillet,Député,Les Républicains,Parrainage à François Fillon
Jeanine Dubié,Député,Parti Radical de Gauche,N'a parrainé personne
Daniel Dubois,Sénateur,Nouveau Centre/UDI,Parrainage à François Fillon
Marianne Dubois,Député,Les Républicains,Parrainage à François Fillon
Françoise Dubois,Député,Parti socialiste,N'a parrainé personne
Virginie Duby-Muller,Député,Les Républicains,Parrainage à François Fillon
Marie-Annick Duchêne,Sénateur,Sans étiquette,Parrainage à François Fillon
Jean-Pierre Dufau,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Dufaut,Sénateur,Les Républicains,Parrainage à François Fillon
Cécile Duflot,Député,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Anne-Lise Dufour-Tonini,Député,Parti socialiste,Parrainage à Benoît Hamon
William Dumas,Député,Parti socialiste,Parrainage à Benoît Hamon
Françoise Dumas,Député,Parti socialiste,N'a parrainé personne
Laurence Dumont,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Louis Dumont,Député,Parti socialiste,N'a parrainé personne
Jean-Léonce Dupont,Sénateur,Nouveau Centre/UDI,N'a parrainé personne
Nicolas Dupont-Aignan,Député,Debout La France,Parrainage à Nicolas Dupont-Aignan
Jean-Paul Dupré,Député,Parti socialiste,Parrainage à Benoît Hamon
Jérôme Durain,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Alain Duran,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Yves Durand,Député,Parti socialiste,N'a parrainé personne
Pascal Durand,Député Européen,Sans étiquette,N'a parrainé personne
Nicole Duranton,Sénateur,Les Républicains,N'a parrainé personne
Philippe Duron,Député,Parti socialiste,N'a parrainé personne
Josette Durrieu,Sénateur,Parti socialiste,N'a parrainé personne
Olivier Dussopt,Député,Parti socialiste,N'a parrainé personne
Louis Duvernois,Sénateur,Les Républicains,Parrainage à François Fillon
Vincent Éblé,Sénateur,Parti socialiste,N'a parrainé personne
Éric Elkouby,Député,Parti socialiste,N'a parrainé personne
Anne Émery-Dumas,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
Henri Emmanuelli,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Paul Émorine,Sénateur,Les Républicains,Parrainage à François Fillon
Corinne Erhel,Député,Parti socialiste,Parrainage à Emmanuel Macron
Sophie Errante,Député,Parti socialiste,Parrainage à Emmanuel Macron
Philippe Esnol,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Frédérique Espagnac,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Dominique Estrosi Sassone,Sénateur,Les Républicains,Parrainage à François Fillon
Marie-Hélène Fabre,Député,Parti socialiste,Parrainage à Benoît Hamon
Hubert Falco,Sénateur,Les Républicains,Parrainage à François Fillon
Olivier Falorni,Député,Divers gauche,N'a parrainé personne
Daniel Fasquelle,Député,Les Républicains,Parrainage à François Fillon
Martine Faure,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Fauré,Député,Parti socialiste,N'a parrainé personne
Olivier Faure,Député,Parti socialiste,Parrainage à Benoît Hamon
Yannick Favennec,Député,Alliance Centriste/UDI,Parrainage à François Fillon
Christian Favier,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Georges Fenech,Député,Les Républicains,Parrainage à François Fillon
Françoise Férat,Sénateur,UDI,Parrainage à François Fillon
Corinne Féret,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Hervé Féron,Député,Parti socialiste,Parrainage à Benoît Hamon
Richard Ferrand,Député,Parti socialiste,Parrainage à Emmanuel Macron
Edouard Ferrand,Député Européen,Front National,Parrainage à Marine Le Pen
Aurélie Filippetti,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Jacques Filleul,Sénateur,Parti socialiste,Parrainage à Emmanuel Macron
François Fillon,Député,Les Républicains,N'a parrainé personne
Geneviève Fioraso,Député,Parti socialiste,N'a parrainé personne
Philippe Folliot,Député,Alliance Centriste/UDI,Parrainage à Jean Lassalle
Michel Fontaine,Sénateur,Les Républicains,Parrainage à François Fillon
Michel Forissier,Sénateur,Les Républicains,Parrainage à François Fillon
Marie-Louise Fort,Député,Les Républicains,Parrainage à François Fillon
François Fortassin,Sénateur,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Thierry Foucaud,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
Alain Fouché,Sénateur,Les Républicains,Parrainage à François Fillon
Yves Foulon,Député,Les Républicains,Parrainage à François Fillon
Hugues Fourage,Député,Parti socialiste,N'a parrainé personne
Jean-Marc Fournel,Député,Parti socialiste,Parrainage à Benoît Hamon
Valérie Fourneyron,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Paul Fournier,Sénateur,Les Républicains,Parrainage à François Fillon
Bernard Fournier,Sénateur,Les Républicains,Parrainage à François Fillon
Michèle Fournier-Armand,Député,Parti socialiste,Parrainage à Benoît Hamon
Michel Françaix,Député,Parti socialiste,N'a parrainé personne
Marc Francina,Député,Les Républicains,Parrainage à François Fillon
Christian Franqueville,Député,Parti socialiste,N'a parrainé personne
Christophe-André Frassa,Sénateur,Les Républicains,Parrainage à François Fillon
Jacqueline Fraysse,Député,Fédération pour une alternative sociale et écologique,Parrainage à Jean-Luc Mélenchon
Pierre Frogier,Sénateur,Rassemblement - Les Républicains,Parrainage à François Fillon
Jean-Christophe Fromantin,Député,Territoire En Mouvement,Parrainage à François Fillon
Yves Fromion,Député,Les Républicains,Parrainage à François Fillon
Jean-Claude Fruteau,Député,Parti socialiste,N'a parrainé personne
Laurent Furst,Député,Les Républicains,N'a parrainé personne
Jean-Marc Gabouty,Sénateur,Parti Radical/UDI,Parrainage à Alain Juppé
Jean-Louis Gagnaire,Député,Parti socialiste,Parrainage à Emmanuel Macron
Geneviève Gaillard,Député,Parti socialiste,N'a parrainé personne
Yann Galut,Député,Parti socialiste,Parrainage à Benoît Hamon
Sauveur Gandolfi-Scheit,Député,Les Républicains,Parrainage à François Fillon
Guillaume Garot,Député,Parti socialiste,Parrainage à Benoît Hamon
Joëlle Garriaud-Maylam,Sénateur,Les Républicains,Parrainage à François Fillon
Françoise Gatel,Sénateur,UDI,N'a parrainé personne
André Gattolin,Sénateur,Europe Écologie Les Verts,Parrainage à Daniel Cohn-Bendit
Jean-Claude Gaudin,Sénateur,Les Républicains,Parrainage à François Fillon
Renaud Gauquelin,Député,Parti socialiste,Parrainage à Benoît Hamon
Hervé Gaymard,Député,Les Républicains,Parrainage à François Fillon
Jacques Genest,Sénateur,Les Républicains,Parrainage à Alain Juppé
Annie Genevard,Député,Les Républicains,Parrainage à François Fillon
Catherine Génisson,Sénateur,Parti socialiste,N'a parrainé personne
Guy Geoffroy,Député,Les Républicains,Parrainage à François Fillon
Bernard Gérard,Député,Les Républicains,Parrainage à François Fillon
Frédérique Gerbaud,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Marc Germain,Député,Parti socialiste,Parrainage à Benoît Hamon
Alain Gest,Député,Les Républicains,Parrainage à François Fillon
Samia Ghali,Sénateur,Parti socialiste,N'a parrainé personne
Paul Giacobbi,Député,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Daniel Gibbes,Député,Les Républicains,Parrainage à François Fillon
Franck Gilard,Député,Les Républicains,N'a parrainé personne
Jean-Patrick Gille,Député,Parti socialiste,Parrainage à Benoît Hamon
Bruno Gilles,Sénateur,Les Républicains,Parrainage à François Fillon
Dominique Gillot,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Jacques Gillot,Sénateur,"Guadeloupe unie, socialisme et réalités",Parrainage à Rama Yade
Georges Ginesta,Député,Les Républicains,Parrainage à François Fillon
Charles-Ange Ginesy,Député,Les Républicains,Parrainage à François Fillon
Jean-Pierre Giran,Député,Les Républicains,Parrainage à François Fillon
Éliane Giraud,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Joël Giraud,Député,Parti Radical de Gauche,Parrainage à Emmanuel Macron
Colette Giudicelli,Sénateur,Les Républicains,Parrainage à François Fillon
Jean Glavany,Député,Parti socialiste,Parrainage à Benoît Hamon
Yves Goasdoué,Député,Divers gauche,N'a parrainé personne
Claude Goasguen,Député,Les Républicains,Parrainage à François Fillon
Sylvie Goddyn,Député Européen,Front National,Parrainage à Marine Le Pen
Jean-Pierre Godefroy,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Daniel Goldberg,Député,Parti socialiste,Parrainage à Benoît Hamon
