Titre,Circonscription,Groupe parlementaire,Parti politique d'adhésion,Type de déclaration,Format de la déclaration,Date de déclaration,Date de publication,Différentiel en jours
Frédéric Lefebvre,Français établis hors de France (01),Les Républicains,Les Républicains,Modification,Numérique,20/12/16,06/02/17,48
Michel Sordi,Haut-Rhin (4),Les Républicains,Les Républicains,Modification,Numérique,20/12/16,06/02/17,48
Jean-Jacques Candelier,Nord (16),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Numérique,02/01/17,06/02/17,35
Jean-Marie Sermier,Jura (3),Les Républicains,Les Républicains,Modification,Numérique,28/01/17,30/01/17,2
Jean-Claude Mignon,Seine-et-Marne (01),Les Républicains,Les Républicains,Modification,Numérique,02/02/17,02/02/17,0
Jean-Christophe Fromantin,Hauts-de-Seine (06),Non-inscrit,Territoire En Mouvement,Modification,Numérique,02/02/17,06/02/17,4
Jean-Jacques Guillet,Hauts-de-Seine (08),Les Républicains,Les Républicains,Modification,Papier,04/02/17,07/02/17,3
Maud Olivier,Essonne (05),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,06/02/17,07/02/17,1
Berengère Poletti,Ardennes (1),Les Républicains,Les Républicains,Modification,Numérique,06/02/17,07/02/17,1
Kader Arif,Haute-Garonne (10),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,07/02/17,07/02/17,0
Sophie Dion,Haute-Savoie (6),Les Républicains,Les Républicains,Modification,Numérique,08/02/17,10/02/17,2
Nicolas Bays,Pas-de-Calais (12),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,09/02/17,10/02/17,1
Paul Giacobbi,Haute-Corse (2),"Radical, Républicain, Démocrate et Progressiste",Parti Radical de Gauche,Modification,Numérique,09/02/17,10/02/17,1
Yannick Trigance,Saint-Denis (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,09/02/17,10/02/17,1
Joaquim Pueyo,Orne (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,10/02/17,13/02/17,3
Laurence Abeille,Val-de-Marne (06),Non-inscrit,Europe Écologie Les Verts,Modification,Numérique,10/02/17,20/02/17,10
Chaynesse Khirouni,Meurthe-et-Moselle (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,11/02/17,13/02/17,2
Benoist Apparu,Marne (4),Les Républicains,Les Républicains,Modification,Numérique,14/02/17,20/02/17,6
Nicolas Bays,Pas-de-Calais (12),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,14/02/17,20/02/17,6
Bernard Debré,Paris (04),Les Républicains,Les Républicains,Modification,Numérique,14/02/17,20/02/17,6
Jean-Marie Tetart,Yvelines (09),Les Républicains,Les Républicains,Modification,Numérique,14/02/17,20/02/17,6
Daniel Vaillant,Paris (17),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,14/02/17,20/02/17,6
Arnaud Viala,Aveyron (3),Les Républicains,Les Républicains,Modification,Numérique,14/02/17,20/02/17,6
Dominique Le Mèner,Sarthe (5),Les Républicains,Les Républicains,Modification,Numérique,16/02/17,20/02/17,4
Dominique Raimbourg,Loire-Atlantique (04),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,17/02/17,20/02/17,3
Sylvie Tolmont,Sarthe (4),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,17/02/17,20/02/17,3
Valérie Corre,Loiret (6),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,20/02/17,06/03/17,14
Dominique Orliac,Lot (1),"Radical, Républicain, Démocrate et Progressiste",Parti Radical de Gauche,Modification,Numérique,20/02/17,06/03/17,14
Christine Pires Beaune,Puy-de-Dôme (2),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,20/02/17,06/03/17,14
Sylvain Berrios,Val-de-Marne (01),Les Républicains,Les Républicains,Modification,Numérique,22/02/17,06/03/17,12
Franck Gilard,Eure (5),Les Républicains,Les Républicains,Modification,Numérique,22/02/17,06/03/17,12
Dominique Lefebvre,Val-d'Oise (10),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,22/02/17,06/03/17,12
Philippe Naillet,Réunion (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,22/02/17,06/03/17,12
Rémi Delatte,Côte-d'Or (2),Les Républicains,Les Républicains,Modification,Numérique,25/02/17,06/03/17,9
Catherine Vautrin,Marne (2),Les Républicains,Les Républicains,Modification,Numérique,26/02/17,06/03/17,8
Jean-Pierre Giran,Var (3),Les Républicains,Les Républicains,Modification,Numérique,28/02/17,06/03/17,6
Odile Saugues,Puy-de-Dôme (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Numérique,31/03/17,19/05/17,49
