Titre,Mandat parlementaire,Parti politique d'adhésion,Circonscription,Candidat,Candidat
Axelle Lemaire,Député,Parti socialiste,Français établis hors de France (03),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Philip Cordery,Député,Parti socialiste,Français établis hors de France (04),Non,N'accède pas au second tour
Arnaud Leroy,Député,La République En Marche,Français établis hors de France (05),Non,Ne se représente pas
Claudine Schmid,Député,Les Républicains,Français établis hors de France (06),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Pierre-Yves Le Borgn',Député,Parti socialiste,Français établis hors de France (07),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Meyer Habib,Député,UDI,Français établis hors de France (08),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Pouria Amirshahi,Député,Sans étiquette,Français établis hors de France (09),Non,Ne se représente pas
Alain Marsaud,Député,Les Républicains,Français établis hors de France (10),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Thierry Mariani,Député,Les Républicains,Français établis hors de France (11),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Françoise Dumas,Député,Parti socialiste,Gard (1),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Gilbert Collard,Député,Front National,Gard (2),Oui,Accède au second tour des législatives sous l'étiquette Front National
Patrice Prat,Député,Sans étiquette,Gard (3),Non,Ne se représente pas
Fabrice Verdier,Député,Parti socialiste,Gard (4),Non,N'accède pas au second tour
William Dumas,Député,Parti socialiste,Gard (5),Non,Ne se représente pas
Christophe Cavard,Député,Union des Démocrates et des Ecologistes,Gard (6),Non,N'accède pas au second tour
Philippe Martin,Député,Parti socialiste,Gers (1),Non,Se présente comme suppléant
Gisèle Biémouret,Député,Parti socialiste,Gers (2),Non,N'accède pas au second tour
Sandrine Doucet,Député,Parti socialiste,Gironde (01),Non,Ne se représente pas
Michèle Delaunay,Député,Parti socialiste,Gironde (02),Non,N'accède pas au second tour
Noël Mamère,Député,Sans étiquette,Gironde (03),Non,Se présente comme suppléant
Conchita Lacuey,Député,Parti socialiste,Gironde (04),Non,Ne se représente pas
Pascale Got,Député,Parti socialiste,Gironde (05),Non,N'accède pas au second tour
Marie Recalde,Député,Parti socialiste,Gironde (06),Non,N'accède pas au second tour
Alain Rousset,Député,Parti socialiste,Gironde (07),Non,Ne se représente pas
Yves Foulon,Député,Les Républicains,Gironde (08),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Gilles Savary,Député,Parti socialiste,Gironde (09),Non,N'accède pas au second tour
Florent Boudié,Député,Parti socialiste,Gironde (10),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Philippe Plisson,Député,Parti socialiste,Gironde (11),Non,Ne se représente pas
Martine Faure,Député,Parti socialiste,Gironde (12),Non,Ne se représente pas
Eric Jalton,Député,Parti socialiste,Guadeloupe (1),Non,Ne se représente pas
Gabrielle Louis-Carabin,Député,Divers gauche,Guadeloupe (2),Non,Se présente comme suppléant
Ary Chalus,Député,"Guadeloupe unie, socialisme et réalités",Guadeloupe (3),Non,Ne se représente pas
Victorin Lurel,Député,Parti socialiste,Guadeloupe (4),Non,Ne se représente pas
Gabriel Serville,Député,Parti socialiste guyanais,Guyane (1),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Chantal Berthelot,Député,A Gauche en Guyane,Guyane (2),Non,N'accède pas au second tour
Éric Straumann,Député,Les Républicains,Haut-Rhin (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Louis Christ,Député,Les Républicains,Haut-Rhin (2),Non,Ne se représente pas
Jean-Luc Reitzer,Député,Les Républicains,Haut-Rhin (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michel Sordi,Député,Les Républicains,Haut-Rhin (4),Non,Ne se représente pas
Arlette Grosskost,Député,Les Républicains,Haut-Rhin (5),Non,Ne se représente pas
Francis Hillmeyer,Député,Nouveau Centre/UDI,Haut-Rhin (6),Non,N'accède pas au second tour
Sauveur Gandolfi-Scheit,Député,Les Républicains,Haute-Corse (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Paul Giacobbi,Député,Parti Radical de Gauche,Haute-Corse (2),Non,Ne se représente pas
Catherine Lemorton,Député,Parti socialiste,Haute-Garonne (01),Non,N'accède pas au second tour
Gérard Bapt,Député,Parti socialiste,Haute-Garonne (02),Non,N'accède pas au second tour
Laurence Arribagé,Député,Les Républicains,Haute-Garonne (03),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Martine Martinel,Député,Parti socialiste,Haute-Garonne (04),Non,N'accède pas au second tour
Françoise Imbert,Député,Parti socialiste,Haute-Garonne (05),Non,Ne se représente pas
Monique Iborra,Député,Sans étiquette,Haute-Garonne (06),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Patrick Lemasle,Député,Parti socialiste,Haute-Garonne (07),Non,Ne se représente pas
Carole Delga,Député,Parti socialiste,Haute-Garonne (08),Non,Ne se représente pas
Christophe Borgel,Député,Parti socialiste,Haute-Garonne (09),Non,N'accède pas au second tour
Kader Arif,Député,Parti socialiste,Haute-Garonne (10),Non,N'accède pas au second tour
Laurent Wauquiez,Député,Les Républicains,Haute-Loire (1),Non,Se présente comme suppléant
Jean-Pierre Vigier,Député,Les Républicains,Haute-Loire (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Luc Chatel,Député,Les Républicains,Haute-Marne (1),Non,Ne se représente pas
François Cornut-Gentille,Député,Les Républicains,Haute-Marne (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Alain Chrétien,Député,Les Républicains,Haute-Saône (1),Non,Se présente comme suppléant
Jean-Michel Villaumé,Député,Parti socialiste,Haute-Saône (2),Non,Ne se représente pas
Bernard Accoyer,Député,Les Républicains,Haute-Savoie (1),Non,Se présente comme suppléant
Lionel Tardy,Député,Les Républicains,Haute-Savoie (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Martial Saddier,Député,Les Républicains,Haute-Savoie (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Virginie Duby-Muller,Député,Les Républicains,Haute-Savoie (4),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marc Francina,Député,Les Républicains,Haute-Savoie (5),Non,Se présente comme suppléant
Sophie Dion,Député,Les Républicains,Haute-Savoie (6),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Alain Rodet,Député,Parti socialiste,Haute-Vienne (1),Non,Ne se représente pas
Daniel Boisserie,Député,Parti socialiste,Haute-Vienne (2),Non,Ne se représente pas
Catherine Beaubatie,Député,Parti socialiste,Haute-Vienne (3),Non,N'accède pas au second tour
Karine Berger,Député,Parti socialiste,Hautes-Alpes (1),Non,N'accède pas au second tour
Joël Giraud,Député,Parti Radical de Gauche,Hautes-Alpes (2),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Jean Glavany,Député,Parti socialiste,Hautes-Pyrénées (1),Non,N'accède pas au second tour
Jeanine Dubié,Député,Parti Radical de Gauche,Hautes-Pyrénées (2),Oui,Accède au second tour des législatives sous l'étiquette Parti radical de gauche
Alexis Bachelay,Député,Parti socialiste,Hauts-de-Seine (01),Non,N'accède pas au second tour
Sébastien Pietrasanta,Député,Parti socialiste,Hauts-de-Seine (02),Non,Ne se représente pas
Jacques Kossowski,Député,Les Républicains,Hauts-de-Seine (03),Non,Ne se représente pas
Jacqueline Fraysse,Député,Fédération pour une alternative sociale et écologique,Hauts-de-Seine (04),Non,Ne se représente pas
Patrick Balkany,Député,Les Républicains,Hauts-de-Seine (05),Non,Ne se représente pas
Jean-Christophe Fromantin,Député,Territoire En Mouvement,Hauts-de-Seine (06),Non,Ne se représente pas
Patrick Ollier,Député,Les Républicains,Hauts-de-Seine (07),Non,Ne se représente pas
Jean-Jacques Guillet,Député,Les Républicains,Hauts-de-Seine (08),Non,Ne se représente pas
Thierry Solere,Député,Les Républicains,Hauts-de-Seine (09),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
André Santini,Député,Force Européenne Démocrate/UDI,Hauts-de-Seine (10),Non,Se présente comme suppléant
Julie Sommaruga,Député,Parti socialiste,Hauts-de-Seine (11),Non,N'accède pas au second tour
Jean-Marc Germain,Député,Parti socialiste,Hauts-de-Seine (12),Non,N'accède pas au second tour
Patrick Devedjian,Député,Les Républicains,Hauts-de-Seine (13),Non,Ne se représente pas
Jean-Louis Roumegas,Député,Europe Écologie Les Verts,Hérault (1),Non,N'accède pas au second tour
Anne-Yvonne Le Dain,Député,Parti socialiste,Hérault (2),Non,N'accède pas au second tour
Fanny Dombre Coste,Député,Parti socialiste,Hérault (3),Non,N'accède pas au second tour
Frédéric Roig,Député,Parti socialiste,Hérault (4),Non,N'accède pas au second tour
Kléber Mesquida,Député,Parti socialiste,Hérault (5),Non,Se présente comme suppléant
Elie Aboud,Député,Les Républicains,Hérault (6),Non,N'accède pas au second tour
Sébastien Denaja,Député,Parti socialiste,Hérault (7),Non,N'accède pas au second tour
Christian Assaf,Député,Parti socialiste,Hérault (8),Non,N'accède pas au second tour
Patrick Vignal,Député,Parti socialiste,Hérault (9),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Constance Le Grip,Député Européen,Les Républicains,Ile-de-France et Français établis hors de France,Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marie-Anne Chapdelaine,Député,Parti socialiste,Ille-et-Vilaine (1),Non,N'accède pas au second tour
Nathalie Appéré,Député,Parti socialiste,Ille-et-Vilaine (2),Non,Ne se représente pas
François André,Député,Parti socialiste,Ille-et-Vilaine (3),Non,N'accède pas au second tour
Jean-René Marsac,Député,Parti socialiste,Ille-et-Vilaine (4),Non,Ne se représente pas
Isabelle Le Callennec,Député,Les Républicains,Ille-et-Vilaine (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Thierry Benoit,Député,Alliance Centriste/UDI,Ille-et-Vilaine (6),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Gilles Lurton,Député,Les Républicains,Ille-et-Vilaine (7),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marcel Rogemont,Député,Parti socialiste,Ille-et-Vilaine (8),Non,Ne se représente pas
Jean-Paul Chanteguet,Député,Parti socialiste,Indre (1),Non,N'accède pas au second tour
Isabelle Bruneau,Député,Parti socialiste,Indre (2),Non,N'accède pas au second tour
Jean-Patrick Gille,Député,Parti socialiste,Indre-et-Loire (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Claude Greff,Député,Les Républicains,Indre-et-Loire (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marisol Touraine,Député,Parti socialiste,Indre-et-Loire (3),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Laurent Baumel,Député,Parti socialiste,Indre-et-Loire (4),Non,N'accède pas au second tour
Philippe Briand,Député,Les Républicains,Indre-et-Loire (5),Non,Ne se représente pas
Éliane Giraud,Sénateur,Parti socialiste,Isère,Non,N'accède pas au second tour
Geneviève Fioraso,Député,Parti socialiste,Isère (01),Non,Ne se représente pas
Michel Issindou,Député,Parti socialiste,Isère (02),Non,Ne se représente pas
Michel Destot,Député,Parti socialiste,Isère (03),Non,N'accède pas au second tour
Marie-Noëlle Battistel,Député,Parti socialiste,Isère (04),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Alain Moyne-Bressand,Député,Les Républicains,Isère (06),Non,N'accède pas au second tour
Jean-Pierre Barbier,Député,Les Républicains,Isère (07),Non,Ne se représente pas
Erwann Binet,Député,Parti socialiste,Isère (08),Non,N'accède pas au second tour
Michèle Bonneton,Député,Europe Écologie Les Verts,Isère (09),Non,Ne se représente pas
Joëlle Huillier,Député,Parti socialiste,Isère (10),Non,N'accède pas au second tour
Pierre Ribeaud,Député,Parti socialiste,Isère (5),Non,Ne se représente pas
Jacques Pélissard,Député,Les Républicains,Jura (1),Non,Ne se représente pas
Marie-Christine Dalloz,Député,Les Républicains,Jura (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Marie Sermier,Député,Les Républicains,Jura (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Pierre Dufau,Député,Parti socialiste,Landes (2),Non,Ne se représente pas
Denys Robiliard,Député,Parti socialiste,Loir-et-Cher (1),Non,N'accède pas au second tour
Patrice Martin-Lalande,Député,Les Républicains,Loir-et-Cher (2),Non,Se présente comme suppléant
Maurice Leroy,Député,Nouveau Centre/UDI,Loir-et-Cher (3),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Régis Juanico,Député,Parti socialiste,Loire (1),Non,N'accède pas au second tour
Jean-Louis Gagnaire,Député,Parti socialiste,Loire (2),Non,Ne se représente pas
François Rochebloine,Député,Force Européenne Démocrate/UDI,Loire (3),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Dino Cinieri,Député,Les Républicains,Loire (4),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yves Nicolin,Député,Les Républicains,Loire (5),Non,Se présente comme suppléant
Paul Salen,Député,Les Républicains,Loire (6),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
François De Rugy,Député,Union des démocrates et écologistes,Loire-Atlantique (01),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Marie-Françoise Clergeau,Député,Parti socialiste,Loire-Atlantique (02),Non,Ne se représente pas
